task,task_id,model,type,logfile,done,reward,success,num_actions
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/97.json,97,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/97.json,True,0.0,0.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/266.json,266,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/266.json,True,0.0,0.0,6
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/267.json,267,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/267.json,True,1.0,1.0,6
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/268.json,268,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/268.json,True,0.0,0.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/425.json,425,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/425.json,True,0.0,0.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/426.json,426,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/426.json,True,1.0,1.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/427.json,427,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/427.json,True,0.0,0.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/428.json,428,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/428.json,True,0.0,0.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/429.json,429,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/429.json,True,0.0,0.0,10
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/430.json,430,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/430.json,True,0.0,0.0,21
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/552.json,552,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/552.json,True,0.0,0.0,25
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/553.json,553,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/553.json,True,0.0,0.0,15
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/555.json,555,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/555.json,True,0.0,0.0,25
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/556.json,556,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/556.json,True,1.0,1.0,11
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/558.json,558,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/558.json,True,1.0,1.0,11
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/559.json,559,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/559.json,True,0.0,0.0,15
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/560.json,560,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/560.json,True,0.0,0.0,23
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/561.json,561,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/561.json,True,0.5714285714285714,1.0,11
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/562.json,562,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/562.json,True,0.0,0.0,20
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/564.json,564,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/564.json,True,0.0,0.0,25
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/565.json,565,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/565.json,True,0.0,0.0,25
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/566.json,566,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/566.json,True,0.0,0.0,13
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/671.json,671,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/671.json,True,0.0,0.0,22
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/673.json,673,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/673.json,True,0.0,0.0,15
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/674.json,674,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/674.json,True,0.0,0.0,9
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/675.json,675,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/675.json,True,0.0,0.0,15
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/681.json,681,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/681.json,True,0.0,0.0,25
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/682.json,682,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/682.json,True,0.0,0.0,26
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/685.json,685,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/685.json,True,0.0,0.0,6
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/686.json,686,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/686.json,True,0.5,1.0,9
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/737.json,737,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/737.json,True,1.0,1.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/738.json,738,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-all-offline-merged/738.json,True,0.0,0.0,26
