task,task_id,model,type,logfile,done,reward,success,num_actions
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/44.json,44,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/44.json,True,1.0,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/46.json,46,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/46.json,True,1.0,1.0,4
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/103.json,103,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/103.json,True,0.0,0.0,7
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/104.json,104,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/104.json,True,0.0,0.0,19
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/105.json,105,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/105.json,True,0.0,0.0,15
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/106.json,106,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/106.json,True,0.0,0.0,4
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/133.json,133,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/133.json,True,0.0,0.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/134.json,134,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/134.json,True,0.0,0.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/135.json,135,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/135.json,True,0.0,0.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/136.json,136,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/136.json,True,1.0,1.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/156.json,156,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/156.json,True,1.0,1.0,9
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/168.json,168,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/168.json,True,1.0,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/169.json,169,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/169.json,True,1.0,1.0,1
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/171.json,171,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/171.json,True,0.9,1.0,1
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/172.json,172,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/172.json,True,0.8333333333333334,1.0,1
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/173.json,173,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/173.json,True,0.0,0.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/175.json,175,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/175.json,True,1.0,1.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/176.json,176,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/176.json,True,1.0,1.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/177.json,177,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/177.json,True,1.0,1.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/178.json,178,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/178.json,True,0.0,0.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/180.json,180,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/180.json,True,0.0,0.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/181.json,181,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/181.json,True,0.0,0.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/182.json,182,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/182.json,True,0.0,0.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/206.json,206,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/206.json,True,1.0,1.0,9
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/207.json,207,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/207.json,True,0.0,0.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/258.json,258,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/258.json,True,1.0,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/259.json,259,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/259.json,True,1.0,1.0,14
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/294.json,294,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/294.json,True,0.0,0.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/295.json,295,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/295.json,True,0.0,0.0,4
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/296.json,296,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/296.json,True,0.0,0.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/297.json,297,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/297.json,True,0.0,0.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/303.json,303,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/303.json,True,0.0,0.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/304.json,304,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/304.json,True,0.0,0.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/305.json,305,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/305.json,True,1.0,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/306.json,306,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/306.json,True,0.0,0.0,8
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/309.json,309,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/309.json,True,0.0,0.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/310.json,310,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/310.json,True,0.0,0.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/311.json,311,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-gitlab-offline-merged/311.json,True,0.0,0.0,5
