task,task_id,model,type,logfile,done,reward,success,num_actions
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/45.json,45,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/45.json,True,0.0,0.0,4
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/102.json,102,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/102.json,True,0.0,0.0,4
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/132.json,132,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/132.json,True,1.0,1.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/170.json,170,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/170.json,True,0.8333333333333334,1.0,1
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/174.json,174,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/174.json,True,1.0,1.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/179.json,179,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/179.json,True,0.0,0.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/205.json,205,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/205.json,True,1.0,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/293.json,293,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/293.json,True,0.0,0.0,7
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/307.json,307,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/307.json,True,0.0,0.0,20
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/308.json,308,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/308.json,True,0.0,0.0,4
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/318.json,318,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/318.json,True,1.0,1.0,6
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/342.json,342,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/342.json,True,0.0,0.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/349.json,349,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/349.json,True,0.0,0.0,13
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/389.json,389,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/389.json,True,1.0,1.0,20
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/394.json,394,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/394.json,True,1.0,1.0,8
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/411.json,411,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/411.json,True,0.0,0.0,20
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/415.json,415,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/415.json,True,0.0,0.0,10
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/422.json,422,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/422.json,True,1.0,1.0,6
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/445.json,445,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/445.json,True,0.0,0.0,4
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/446.json,446,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/446.json,True,0.0,0.0,20
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/452.json,452,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/452.json,True,1.0,1.0,7
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/479.json,479,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/479.json,True,1.0,1.0,4
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/484.json,484,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/484.json,True,1.0,1.0,14
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/524.json,524,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/524.json,True,0.125,1.0,21
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/536.json,536,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/536.json,True,0.6666666666666666,1.0,13
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/569.json,569,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/569.json,True,0.0,0.0,20
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/576.json,576,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/576.json,True,1.0,1.0,19
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/577.json,577,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/577.json,True,0.0,0.0,21
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/593.json,593,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/593.json,True,1.0,1.0,12
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/660.json,660,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/660.json,True,0.0,0.0,20
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/663.json,663,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/663.json,True,1.0,1.0,8
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/668.json,668,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/668.json,True,0.0,0.0,13
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/669.json,669,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/669.json,True,1.0,1.0,6
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/749.json,749,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/749.json,True,0.0,0.0,21
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/752.json,752,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/752.json,True,0.0,0.0,20
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/784.json,784,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/784.json,True,1.0,1.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/802.json,802,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/802.json,True,1.0,1.0,14
