task,task_id,model,type,logfile,done,reward,success,num_actions
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/21.json,21,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/21.json,True,0.8,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/23.json,23,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/23.json,True,1.0,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/24.json,24,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/24.json,True,1.0,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/25.json,25,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/25.json,True,0.5,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/26.json,26,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/26.json,True,1.0,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/48.json,48,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/48.json,True,1.0,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/49.json,49,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/49.json,True,1.0,1.0,8
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/50.json,50,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/50.json,True,0.0,0.0,6
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/51.json,51,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/51.json,True,1.0,1.0,6
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/96.json,96,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/96.json,True,0.0,0.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/117.json,117,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/117.json,True,1.0,1.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/118.json,118,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/118.json,True,1.0,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/124.json,124,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/124.json,True,0.5,1.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/125.json,125,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/125.json,True,0.0,0.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/142.json,142,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/142.json,True,0.0,0.0,6
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/143.json,143,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/143.json,True,0.0,0.0,4
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/144.json,144,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/144.json,True,1.0,1.0,7
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/145.json,145,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/145.json,True,1.0,1.0,6
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/147.json,147,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/147.json,True,0.0,0.0,21
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/148.json,148,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/148.json,True,1.0,1.0,6
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/149.json,149,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/149.json,True,1.0,1.0,6
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/150.json,150,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/150.json,True,1.0,1.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/158.json,158,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/158.json,True,1.0,1.0,10
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/159.json,159,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/159.json,True,0.0,0.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/161.json,161,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/161.json,True,1.0,1.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/162.json,162,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/162.json,True,0.0,0.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/163.json,163,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/163.json,True,0.6666666666666666,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/165.json,165,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/165.json,True,0.5,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/166.json,166,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/166.json,True,1.0,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/167.json,167,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/167.json,True,0.0,0.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/188.json,188,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/188.json,True,1.0,1.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/190.json,190,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/190.json,True,1.0,1.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/191.json,191,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/191.json,True,1.0,1.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/192.json,192,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/192.json,True,0.0,0.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/225.json,225,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/225.json,True,1.0,1.0,8
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/227.json,227,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/227.json,True,1.0,1.0,4
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/228.json,228,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/228.json,True,1.0,1.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/229.json,229,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/229.json,True,0.5,1.0,6
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/230.json,230,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/230.json,True,1.0,1.0,4
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/231.json,231,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/231.json,True,1.0,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/232.json,232,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam-Trajectories-shopping-offline-merged/232.json,True,0.0,0.0,2
