task,task_id,model,type,logfile,done,reward,success,num_actions
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/22.json,22,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/22.json,True,1.0,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/47.json,47,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/47.json,True,1.0,1.0,6
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/126.json,126,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/126.json,True,1.0,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/141.json,141,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/141.json,True,0.0,0.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/146.json,146,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/146.json,True,0.0,0.0,8
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/160.json,160,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/160.json,True,0.0,0.0,6
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/164.json,164,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/164.json,True,1.0,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/189.json,189,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/189.json,True,1.0,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/226.json,226,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/226.json,True,0.0,0.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/235.json,235,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/235.json,True,1.0,1.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/238.json,238,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/238.json,True,0.0,0.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/264.json,264,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/264.json,True,0.0,0.0,4
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/272.json,272,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/272.json,True,0.0,0.0,20
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/274.json,274,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/274.json,True,1.0,1.0,2
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/279.json,279,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/279.json,True,0.3571428571428571,1.0,16
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/284.json,284,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/284.json,True,0.0,0.0,20
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/299.json,299,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/299.json,True,1.0,1.0,3
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/320.json,320,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/320.json,True,0.0,0.0,4
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/328.json,328,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/328.json,True,0.0,0.0,4
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/333.json,333,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/333.json,True,0.0,0.0,5
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/334.json,334,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/334.json,True,1.0,1.0,4
/home/user/work/plugmem/PlugMem-exp/src/AgentOccam/config_files/tasks/355.json,355,Qwen2.5-7B-Instruct,AgentOccam,AgentOccam/355.json,True,0.0,0.0,6
